Time,SpO2(%),Pulse Rate(bpm),Motion,SpO2 Reminder,PR Reminder,Unnamed: 6
"05:30:10AM Feb 7, 2022",98,78,0,0,0,
"05:30:14AM Feb 7, 2022",98,79,0,0,0,
"05:30:18AM Feb 7, 2022",98,78,0,0,0,
"05:30:22AM Feb 7, 2022",98,77,0,0,0,
"05:30:26AM Feb 7, 2022",98,77,0,0,0,
"05:30:30AM Feb 7, 2022",98,75,9,0,0,
"05:30:34AM Feb 7, 2022",98,75,3,0,0,
"05:30:38AM Feb 7, 2022",98,75,2,0,0,
"05:30:42AM Feb 7, 2022",98,75,0,0,0,
"05:30:46AM Feb 7, 2022",98,75,0,0,0,
"05:30:50AM Feb 7, 2022",98,75,1,0,0,
"05:30:54AM Feb 7, 2022",98,82,0,0,0,
"05:30:58AM Feb 7, 2022",98,85,0,0,0,
"05:31:02AM Feb 7, 2022",98,77,0,0,0,
"05:31:06AM Feb 7, 2022",98,76,0,0,0,
"05:31:10AM Feb 7, 2022",98,77,0,0,0,
"05:31:14AM Feb 7, 2022",98,77,0,0,0,
"05:31:18AM Feb 7, 2022",98,78,0,0,0,
"05:31:22AM Feb 7, 2022",98,78,0,0,0,
"05:31:26AM Feb 7, 2022",98,82,7,0,0,
"05:31:30AM Feb 7, 2022",98,82,29,0,0,
"05:31:34AM Feb 7, 2022",98,82,31,0,0,
"05:31:38AM Feb 7, 2022",98,81,9,0,0,
"05:31:42AM Feb 7, 2022",98,81,14,0,0,
"05:31:46AM Feb 7, 2022",98,81,52,0,0,
"05:31:50AM Feb 7, 2022",98,81,21,0,0,
"05:31:54AM Feb 7, 2022",98,81,1,0,0,
"05:31:58AM Feb 7, 2022",98,73,0,0,0,
"05:32:02AM Feb 7, 2022",99,70,0,0,0,
"05:32:06AM Feb 7, 2022",99,77,0,0,0,
"05:32:10AM Feb 7, 2022",98,80,0,0,0,
"05:32:14AM Feb 7, 2022",98,82,0,0,0,
"05:32:18AM Feb 7, 2022",98,86,0,0,0,
"05:32:22AM Feb 7, 2022",98,81,0,0,0,
"05:32:26AM Feb 7, 2022",98,80,0,0,0,
"05:32:30AM Feb 7, 2022",98,86,0,0,0,
"05:32:34AM Feb 7, 2022",98,83,0,0,0,
"05:32:38AM Feb 7, 2022",98,77,0,0,0,
"05:32:42AM Feb 7, 2022",98,67,0,0,0,
"05:32:46AM Feb 7, 2022",98,71,2,0,0,
"05:32:50AM Feb 7, 2022",99,78,0,0,0,
"05:32:54AM Feb 7, 2022",99,73,0,0,0,
"05:32:58AM Feb 7, 2022",99,75,0,0,0,
"05:33:02AM Feb 7, 2022",99,80,0,0,0,
"05:33:06AM Feb 7, 2022",99,74,2,0,0,
"05:33:10AM Feb 7, 2022",99,74,19,0,0,
"05:33:14AM Feb 7, 2022",99,74,24,0,0,
"05:33:18AM Feb 7, 2022",99,74,12,0,0,
"05:33:22AM Feb 7, 2022",99,76,0,0,0,
"05:33:26AM Feb 7, 2022",99,79,22,0,0,
"05:33:30AM Feb 7, 2022",99,79,21,0,0,
"05:33:34AM Feb 7, 2022",99,79,59,0,0,
"05:33:38AM Feb 7, 2022",99,79,40,0,0,
"05:33:42AM Feb 7, 2022",99,79,20,0,0,
"05:33:46AM Feb 7, 2022",99,79,31,0,0,
"05:33:50AM Feb 7, 2022",98,78,6,0,0,
"05:33:54AM Feb 7, 2022",98,79,4,0,0,
"05:33:58AM Feb 7, 2022",98,77,1,0,0,
"05:34:02AM Feb 7, 2022",98,77,66,0,0,
"05:34:06AM Feb 7, 2022",98,77,47,0,0,
"05:34:10AM Feb 7, 2022",98,77,8,0,0,
"05:34:14AM Feb 7, 2022",98,77,43,0,0,
"05:34:18AM Feb 7, 2022",98,77,133,0,0,
"05:34:22AM Feb 7, 2022",98,77,36,0,0,
"05:34:26AM Feb 7, 2022",98,78,5,0,0,
"05:34:30AM Feb 7, 2022",98,78,11,0,0,
"05:34:34AM Feb 7, 2022",98,78,5,0,0,
"05:34:38AM Feb 7, 2022",98,78,0,0,0,
"05:34:42AM Feb 7, 2022",98,82,0,0,0,
"05:34:46AM Feb 7, 2022",98,87,0,0,0,
"05:34:50AM Feb 7, 2022",98,83,0,0,0,
"05:34:54AM Feb 7, 2022",98,80,0,0,0,
"05:34:58AM Feb 7, 2022",99,80,0,0,0,
"05:35:02AM Feb 7, 2022",99,80,0,0,0,
"05:35:06AM Feb 7, 2022",99,73,0,0,0,
"05:35:10AM Feb 7, 2022",98,75,0,0,0,
"05:35:14AM Feb 7, 2022",98,80,0,0,0,
"05:35:18AM Feb 7, 2022",98,73,3,0,0,
"05:35:22AM Feb 7, 2022",98,73,24,0,0,
"05:35:26AM Feb 7, 2022",98,73,23,0,0,
"05:35:30AM Feb 7, 2022",98,73,2,0,0,
"05:35:34AM Feb 7, 2022",98,72,0,0,0,
"05:35:38AM Feb 7, 2022",97,71,0,0,0,
"05:35:42AM Feb 7, 2022",97,77,0,0,0,
"05:35:46AM Feb 7, 2022",97,71,0,0,0,
"05:35:50AM Feb 7, 2022",97,69,0,0,0,
"05:35:54AM Feb 7, 2022",97,76,0,0,0,
"05:35:58AM Feb 7, 2022",97,73,0,0,0,
"05:36:02AM Feb 7, 2022",97,67,0,0,0,
"05:36:06AM Feb 7, 2022",98,67,0,0,0,
"05:36:10AM Feb 7, 2022",98,71,0,0,0,
"05:36:14AM Feb 7, 2022",98,71,0,0,0,
"05:36:18AM Feb 7, 2022",97,75,0,0,0,
"05:36:22AM Feb 7, 2022",97,75,0,0,0,
"05:36:26AM Feb 7, 2022",97,75,1,0,0,
"05:36:30AM Feb 7, 2022",97,75,0,0,0,
"05:36:34AM Feb 7, 2022",97,80,0,0,0,
"05:36:38AM Feb 7, 2022",97,80,0,0,0,
"05:36:42AM Feb 7, 2022",97,86,0,0,0,
"05:36:46AM Feb 7, 2022",97,90,0,0,0,
"05:36:50AM Feb 7, 2022",97,83,0,0,0,
"05:36:54AM Feb 7, 2022",96,78,0,0,0,
"05:36:58AM Feb 7, 2022",97,80,0,0,0,
"05:37:02AM Feb 7, 2022",97,76,0,0,0,
"05:37:06AM Feb 7, 2022",97,76,0,0,0,
"05:37:10AM Feb 7, 2022",98,74,0,0,0,
"05:37:14AM Feb 7, 2022",98,72,0,0,0,
"05:37:18AM Feb 7, 2022",98,74,0,0,0,
"05:37:22AM Feb 7, 2022",98,72,0,0,0,
"05:37:26AM Feb 7, 2022",98,71,0,0,0,
"05:37:30AM Feb 7, 2022",98,71,0,0,0,
"05:37:34AM Feb 7, 2022",97,73,0,0,0,
"05:37:38AM Feb 7, 2022",97,73,0,0,0,
"05:37:42AM Feb 7, 2022",97,74,0,0,0,
"05:37:46AM Feb 7, 2022",97,74,0,0,0,
"05:37:50AM Feb 7, 2022",97,73,0,0,0,
"05:37:54AM Feb 7, 2022",96,74,0,0,0,
"05:37:58AM Feb 7, 2022",96,65,0,0,0,
"05:38:02AM Feb 7, 2022",96,68,0,0,0,
"05:38:06AM Feb 7, 2022",97,69,0,0,0,
"05:38:10AM Feb 7, 2022",97,74,0,0,0,
"05:38:14AM Feb 7, 2022",97,71,0,0,0,
"05:38:18AM Feb 7, 2022",97,70,0,0,0,
